R,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
21,0.00207632867339,0.00245302494506,118.142420152,0.55275482912,0,0,0,0.000526162510551,0,0.00612381483547,0.0379556916252,0.00139510297881,0,0.00713272877984,0.0222312104089,0.00182791329602,0.00122809131516,0.00611161041701,0.00791317562551,0.00182200228931,0.0021062124706,0.0021062124706,0.0021062124706,0.0021062124706,870001482,1290739,379080943785,39.5719316843,3.1146978393
22,0.00185217955524,0.00228902000614,123.585210714,0.542166975365,0,0,0,0.00045848149834,0,0.00521735031281,0.0356557291758,0.00122316030768,0,0.00648433094884,0.0204969246536,0.00161008091968,0.000959499063167,0.00549559562165,0.00727059134125,0.0016208860212,0.00187789675563,0.00187789675563,0.00187789675563,0.00187789675563,870186437,1105784,380779043085,40.077196702,3.11614079757
23,0.0016398277591,0.00206142492812,125.709844628,0.531609716871,0,0,0,0.000402671406662,0,0.00343526949372,0.0311160801342,0.00108622745936,0,0.00518746475907,0.0195185803133,0.00143710364117,0.00084735820126,0.0048280245918,0.00652604028212,0.00140959200498,0.00166099682641,0.00166099682641,0.00166099682641,0.00166099682641,870326362,965859,379409181924,40.5822555948,3.11475106396
24,0.00146286792898,0.00191744173533,131.074152174,0.52177191697,0,0,0,0.00035346741176,0,0,0.028746909834,0.000944192063826,0,0.0049247694049,0.0177090373011,0.00125587702905,0.000645686588689,0.00428075144243,0.00601941169769,0.00124621566814,0.00147834425444,0.00147834425444,0.00147834425444,0.00147834425444,870471488,820733,381156965124,41.087991755,3.1169636711
25,0.00130360408187,0.00174783247944,134.076941285,0.511980886473,0,0,0,0.000312390447136,0,0,0.0240864653346,0.000837537130746,0,0.00400235231711,0.0168059502177,0.00111651372631,0.000556155838024,0.00369910747006,0.00544480526335,0.00107450688044,0.00131281536108,0.00131281536108,0.00131281536108,0.00131281536108,870574207,718014,379711617963,41.5911660777,3.11648657401
26,0.00117973220079,0.00161365770845,136.781695656,0.502851210283,0,0,0,0.000277373338562,0,0,0.0220880513774,0.00073988643877,0,0.00386686810898,0.0150716644624,0.000983426997174,0.000466625087359,0.00333095113215,0.00500455188387,0.000962403275151,0.00118153382497,0.00118153382497,0.00118153382497,0.00118153382497,870647611,644610,381377812563,42.0913839812,3.11639077322
27,0.0010381643367,0.00147919957813,142.482218455,0.493736181476,0,0,0,0.000239955016346,0,0,0.0181078355135,0.000639757541527,0,0.00310951797474,0.0143190918929,0.000853292807576,0.000377094336694,0.00288046526109,0.00454783259776,0.000800241938287,0.00103312861024,0.00103312861024,0.00103312861024,0.00103312861024,870748688,543533,379971958602,42.5958892815,3.11596786807
28,0.000937887099628,0.0013548186009,144.454337994,0.485234431809,0,0,0,0.000213586777936,0,0,0.0160576435564,0.000565428028759,0,0.00295745170859,0.0126600633946,0.000748700693619,0.000332783808512,0.00258369877352,0.00415240903101,0.000715990094342,0.000930386538505,0.000930386538505,0.000930386538505,0.000930386538505,870805304,486917,381531641202,43.0968433451,3.11586263941
29,0.000837609862561,0.00124185893766,148.262215283,0.476736625555,0,0,0,0.000185703695715,0,0,0.014637800394,0.000487380603935,0,0.00252957573068,0.012058005339,0.000645017563253,0.00014721036361,0.00241184465857,0.00381251978144,0.000590501354703,0.000821936573894,0.000821936573894,0.000821936573894,0.000821936573894,870886679,405542,380082807741,43.6006124853,3.11590378162
30,0.000755028608506,0.0011278041373,149.372371403,0.46879999903,0,0,0,0.000165893921891,0,0,0.0127678493771,0.000432459134253,0,0.00233956018396,0.0104742340977,0.000568204628463,0.00014721036361,0.0021322635825,0.00345108513964,0.000529084612699,0.000742026073655,0.000742026073655,0.000742026073655,0.000742026073655,870897860,394361,381676875441,44.099664311,3.11540635177
31,0.000684244676458,0.00103701521713,151.556198069,0.460857533403,0,0,0,0.000146376016502,0,0,0.0116130341483,0.00037524134118,0,0.00195276199217,0.010022690556,0.000496575921427,0,0.00199478029054,0.00317917373999,0.000438264252756,0.000662115573415,0.000662115573415,0.000662115573415,0.000662115573415,870972514,319707,380207430480,44.6043109541,3.11576435438
32,0.000589866100395,0.000900650202866,152.687228892,0.453442154303,0,0,0,0.00012373922399,0,0,0.010094999478,0.000315564786758,0,0.0016804173524,0.00836366205765,0.000413487455005,0,0.00168082839148,0.00274976124828,0.000370482543532,0.000570789287427,0.000570789287427,0.000570789287427,0.000570789287427,870998697,293524,381854016180,45.1037043581,3.11499537542
33,0.000530879490356,0.000808965897285,152.382209519,0.446000050923,0,0,0,0.000112571169457,0,0,0.00901158784842,0.000291311286764,0,0.0014805062018,0.00791211851595,0.000380578854129,0,0.00154334509952,0.00247784984862,0.00033763758662,0.000513710358684,0.000513710358684,0.000513710358684,0.000513710358684,871026788,265433,380294827119,45.6062897527,3.11531236239
34,0.0004482982363,0.000695363320244,155.111768001,0.439045333736,0,0,0,0.000092761395633,0,0,0.00738441696141,0.000236389817081,0,0.00120816156204,0.0063283472746,0.000303765919338,0,0.00126376402344,0.00211641520683,0.000276220844615,0.000433799858444,0.000433799858444,0.000433799858444,0.000433799858444,871058056,234165,381930641919,46.1074381625,3.11523053703
35,0.000389311626261,0.000603499374974,155.017043999,0.432066033284,0,0,0,0.0000815933411,0,0,0.00647690406709,0.000212136317087,0,0.00100825041144,0.0058768037329,0.000270857318461,0,0.00112628073148,0.00184450380717,0.000243375887703,0.000376720929702,0.000376720929702,0.000376720929702,0.000376720929702,871077751,214470,380439102858,46.6089517079,3.11523150455
36,0.000312629033209,0.000501737947836,160.489876031,0.425540161282,0,0,0,0.000063442536326,0,0,0.00443065017685,0.000159323253196,0,0.00073590577168,0.00429303249155,0.000197366333788,0,0.000902382848785,0.00152475764671,0.000185141629309,0.000302518322336,0.000302518322336,0.000302518322336,0.000302518322336,871103994,188227,382021073658,47.1088987044,3.11491236427
37,0.000277237067186,0.000454784995588,164.041915536,0.418974398512,0,0,0,0.000056520591809,0,0,0.00421275707276,0.000143764564374,0,0.000535994621081,0.00399200346375,0.000177008796172,0,0.000795143420926,0.00138110239051,0.000165026606838,0.000268270965091,0.000268270965091,0.000268270965091,0.000268270965091,871119668,172553,380543797197,47.6111778563,3.11539948953
38,0.000212351796142,0.00036501736359,171.892760137,0.412835502967,0,0,0,0.00004134449016,0,0,0.000513176144244,0.000096042808282,0,0,0.00286136416375,0.000111601031542,0,0.000647416329843,0.00110714223103,0.000116609651587,0.000205484143474,0.000205484143474,0.000205484143474,0.000205484143474,871149623,142598,382123525197,48.1117844523,3.11521869036
39,0.000188757152126,0.000340985454693,180.647700419,0.406661866484,0,0,0,0.000036645242039,0,0,0.000513176144244,0.000084841379963,0,0,0.00248428367917,0.000097150656952,0,0.000564303925854,0.00102941606491,0.000102859596337,0.000182652571977,0.000182652571977,0.000182652571977,0.000182652571977,871178814,113407,380600391336,48.6135924617,3.11528766958
40,0.000159263847107,0.000284301724256,178.509893752,0.4008758649,0,0,0,0.000031090761158,0,0,0,0.000071259685799,0,0,0.00210799739442,0.000082382749388,0,0.000478376868378,0.000859471440126,0.000086947178286,0.000154113107605,0.000154113107605,0.000154113107605,0.000154113107605,871212081,80140,382181898036,49.1145641932,3.11531610605
