seats,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
74,0.0834719518669,0.020920916221,25.0634084301,0.344390331558,0,0.189655172414,0.43023255814,0.0216578736288,0,0.209670662987,0.302614995279,0.0399282275418,0.0294509064032,0.161620581766,0.189926664949,0.0501849699114,0.0593153677484,0.124732587782,0.125034354104,0.059788047392,0.0807723920637,0.0807723920637,0.0807723920637,0.0807723920637,803386494,67905727,31524039,1,0
76,0.0765115318823,0.0197886611904,25.8636321918,0.337770253094,0,0.161290322581,0.417214974475,0.0195713221542,0,0.195295555172,0.291003588291,0.0363418422149,0.0241769171037,0.150456419789,0.178283024334,0.0458506172361,0.0532308112009,0.115233507853,0.115248048611,0.0547673801467,0.0740370784721,0.0740370784721,0.0740370784721,0.0740370784721,809239080,62053141,31524039,1,0
78,0.0699404235239,0.0186421915302,26.6543875357,0.33132159792,0,0.136363636364,0.4,0.017617878124,0,0.184332844575,0.280368498584,0.0329788314134,0.0199648276043,0.140213432503,0.168285064595,0.041769378703,0.0472818171998,0.106349407713,0.106452440919,0.0500255819724,0.0676784858102,0.0676784858102,0.0676784858102,0.0676784858102,814678408,56613813,31524039,1,0
80,0.0636465522326,0.0175584474956,27.5874291374,0.325024641512,0,0.113873106061,0.386421052632,0.0157736742197,0,0.172485438378,0.265957091596,0.029793537729,0.0160359528801,0.129322747411,0.159062537696,0.0378715200437,0.0424652473196,0.0977590803669,0.0984245562364,0.0455019597375,0.0615881641133,0.0615881641133,0.0615881641133,0.0615881641133,819687158,51605063,31524039,1,0
82,0.0576889046187,0.0166358994878,28.8372601244,0.318949980811,0,0.0909090909091,0.361635094716,0.014051036361,0,0.159241494689,0.254082135642,0.0267806212118,0.0122274004923,0.119132706051,0.150666546153,0.0341825112265,0.0370542093845,0.0895885521665,0.0911895998342,0.0411834340084,0.0558231923103,0.0558231923103,0.0558231923103,0.0558231923103,824476514,46815707,31524039,1,0
84,0.052220845868,0.0156353518702,29.9408246081,0.312958178028,0,0.0714285714286,0.339243243243,0.0125023279429,0,0.14591025885,0.24004998557,0.024049329192,0.0088718232527,0.109411867582,0.142330299651,0.0308096232871,0.0328904439263,0.0818769266238,0.0841527692312,0.037221833839,0.0505319756159,0.0505319756159,0.0505319756159,0.0505319756159,828719288,42572933,31524039,1,0
86,0.0473839438447,0.0147456512803,31.1195102895,0.307180529016,0,0.047619047619,0.317073170732,0.0111525207572,0,0.132121359916,0.225991746032,0.0216571618939,0.00599298020768,0.101113020956,0.134068577864,0.027820787456,0.0291221019369,0.0750379036506,0.0776094949449,0.0337194479145,0.045851503459,0.045851503459,0.045851503459,0.045851503459,832787104,38505117,31524039,1,0
88,0.0429540494308,0.0140125391768,32.6221610359,0.301498082723,0,0.0213922294172,0.3,0.00992756668154,0,0.122146076315,0.214466551227,0.0194654649626,0.00371466437528,0.0928782917455,0.127050980373,0.0250918733823,0.0255236142713,0.0689568794003,0.0718558920091,0.0304878442778,0.0415648759104,0.0415648759104,0.0415648759104,0.0415648759104,836390484,34901737,31524039,1,0
90,0.0389370612871,0.0133492138542,34.2840815742,0.295927870932,0,0,0.282459459459,0.0088377210807,0,0.111242624667,0.202088311688,0.0175036542181,0.00239596289122,0.0855552720613,0.120413396293,0.0226459301718,0.0224081208611,0.0630499895184,0.0666333938626,0.0276128787565,0.037677800863,0.037677800863,0.037677800863,0.037677800863,839595757,31696464,31524039,1,0
92,0.0352857901256,0.0127211239652,36.0516908363,0.29053912221,0,0,0.269009009009,0.00785711119605,0,0.102861510278,0.192872535892,0.0157207322859,0.00132484744331,0.0786275649478,0.11340318864,0.0204116932741,0.0195341024998,0.0582787701763,0.0616734782465,0.0249521388432,0.0341446151739,0.0341446151739,0.0341446151739,0.0341446151739,842624929,28667292,31524039,1,0
94,0.0318704654044,0.0119681107219,37.5523562963,0.285270419835,0,0,0.253686960016,0.00695234680441,0,0.0899909592691,0.184196566146,0.0140918187136,0.000606673171868,0.0718584904596,0.106221762045,0.0183430840334,0.0172306491803,0.0536578918089,0.056779079248,0.0224732186812,0.0308397451997,0.0308397451997,0.0308397451997,0.0308397451997,845330329,25961892,31524039,1,0
96,0.0288798442753,0.0113337032115,39.244336304,0.280129297716,0,0,0.236727941176,0.0061822311609,0,0.0782487152646,0.173518508328,0.0126768646021,0.000123793018074,0.0655996283541,0.100344204788,0.01655035445,0.0153120006745,0.0495850349292,0.0527032529979,0.0203126991665,0.0279458435124,0.0279458435124,0.0279458435124,0.0279458435124,847757463,23534758,31524039,1,0
98,0.0262077508406,0.010750168995,41.0190445583,0.27514661372,0,0,0.208963178295,0.00550056964501,0,0.0714907094595,0.166043852569,0.0114184072693,0,0.0609849966536,0.0944069024904,0.0149517060877,0.0135870653486,0.0457259411825,0.0485638341068,0.0183907994462,0.0253601680404,0.0253601680404,0.0253601680404,0.0253601680404,850025793,21266428,31524039,1,0
100,0.023954462337,0.0102280802587,42.6980164062,0.270263733654,0,0,0.186449612403,0.00494477100595,0,0.0664217342342,0.159103107345,0.0103670905246,0,0.0568526572531,0.0897580635114,0.0136103822038,0.0121089364779,0.0427982269265,0.045603246945,0.016760571864,0.0231797529624,0.0231797529624,0.0231797529624,0.0231797529624,851980448,19311773,31524039,1,0
102,0.0217837550876,0.00966137263492,44.3512727538,0.265518123686,0,0,0.168192488263,0.00442637493566,0,0.0631320382883,0.149626332942,0.00938594370148,0,0.0522986099136,0.0849675649399,0.012330998399,0.0106467135111,0.0398057620726,0.0425588128186,0.0151822224935,0.0210792483847,0.0210792483847,0.0210792483847,0.0210792483847,853760776,17531445,31524039,1,0
104,0.0198607916003,0.00916266087143,46.1344192912,0.260878546711,0,0,0.151764480245,0.00398322846073,0,0.0592088963964,0.140683438501,0.00853266232473,0,0.0485831976464,0.0803710811646,0.0112154542004,0.0095401050961,0.0372764141723,0.0400323831535,0.0138294484706,0.0192184753077,0.0192184753077,0.0192184753077,0.0192184753077,855290330,16001891,31524039,1,0
106,0.0182504571462,0.00870628745513,47.7044897307,0.256370660139,0,0,0.133333333333,0.00361261899782,0,0.0532864526162,0.13347573801,0.00781354316152,0,0.0454571972661,0.0762513050265,0.0102692588254,0.00847330559825,0.0351402870441,0.037797288178,0.0126644991455,0.017660220553,0.017660220553,0.017660220553,0.017660220553,856674901,14617320,31524039,1,0
108,0.0166047307261,0.00825810990777,49.7334768264,0.251989668548,0,0,0.113336347197,0.00323294757136,0,0.0477974900834,0.128270156162,0.00707737272448,0,0.042115870563,0.0721912739292,0.00930102580753,0.00736936288627,0.03290982101,0.0356851191116,0.0114892060662,0.0160677184411,0.0160677184411,0.0160677184411,0.0160677184411,857923071,13369150,31524039,1,0
