k,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
27,0.0691146109833,0.0173196173162,25.0592704926,0.662649284943,0,0.4,0.932248062016,0.0578110998745,0.0619707559096,0.174967765043,0.204545058054,0.0711364553507,0.0729421449959,0.145500485172,0.158712256384,0.0719511498116,0.0744996536457,0.138077200489,0.145225787876,0.0729403883816,0.0682721066691,0.0682721066691,0.0682721066691,0.0682721066691,803901287,67390934,318438586368,35.4138044759,4.00954898081
28,0.0700524980829,0.0173607344282,24.7824630146,0.662021052888,0,0.4,0.874692202462,0.0572684773264,0.063256296609,0.175056366048,0.200556947383,0.0713611878554,0.0739541511128,0.148539367864,0.162251888776,0.0722993759975,0.0755829037562,0.139311399615,0.147405286617,0.0737581698675,0.0692481563506,0.0692481563506,0.0692481563506,0.0692481563506,802703846,68588375,309728414907,35.2877031802,4.00047032211
29,0.0710788650976,0.0173684135459,24.4354120203,0.660405229589,0,0.4,0.859302325581,0.0570086606754,0.0605222734255,0.181905901116,0.201251931068,0.0716033141423,0.0734356332985,0.148110806008,0.162647419498,0.0726318867999,0.0752954577211,0.138660734833,0.147033571296,0.0742091124901,0.0701728349962,0.0701728349962,0.0701728349962,0.0701728349962,802123923,69168298,301749565368,35.2185747939,3.98603694651
30,0.0721465227393,0.0174881094474,24.2397121627,0.660348517437,0,0.4,0.84367816092,0.0572742356029,0.0614521790928,0.179361535049,0.211631676184,0.0721073124257,0.0734495016587,0.14934466737,0.16741873398,0.0733932305862,0.0766147582194,0.140625003722,0.150003303628,0.0752270616548,0.071228795178,0.071228795178,0.071228795178,0.071228795178,801420710,69871511,294175194468,35.1132096584,3.97452456718
31,0.0728130714328,0.0173765031211,23.8645380275,0.659333538246,0,0.403695408735,0.83450811359,0.0570508135806,0.0640520299566,0.176742662474,0.205791694659,0.0726171045794,0.0739567553855,0.147593478069,0.165694289031,0.0739401819841,0.0773217865771,0.140076120733,0.149571417211,0.075942811288,0.0719365738944,0.0719365738944,0.0719365738944,0.0719365738944,800108591,71183630,289491487668,35.0142697291,3.96071068996
32,0.0743526219548,0.0175622210356,23.6201771691,0.65930968375,0,0.416666666667,0.807799671593,0.0573875428982,0.0662641785584,0.177343607929,0.210321632516,0.0738029469389,0.0758125999409,0.151308667132,0.167943832532,0.0753160591001,0.0791064588146,0.142062494901,0.151538977414,0.0774858938055,0.0734377497203,0.0734377497203,0.0734377497203,0.0734377497203,798778613,72513608,282952363407,34.9150471143,3.95424205999
33,0.0750132719873,0.0174690766535,23.2879811674,0.657774481481,0,0.409090909091,0.81036036036,0.0572905281773,0.0666666666667,0.177107695884,0.213692689826,0.0738905436897,0.0754188991535,0.151009386743,0.165778541879,0.0754662533075,0.0790423536314,0.141485369362,0.151181969942,0.0778497576502,0.0740656179365,0.0740656179365,0.0740656179365,0.0740656179365,798528100,72764121,276622115607,34.8470612485,3.9398199662
34,0.0766648970684,0.0175870350316,22.9401404087,0.657703001852,0,0.41935483871,0.8,0.0579216143077,0.0680660987513,0.179426566747,0.207445965873,0.0753097620847,0.0769937023031,0.151900350651,0.168141764629,0.076853430867,0.0806924607346,0.14337555594,0.153090028899,0.079451018304,0.07572090687,0.07572090687,0.07572090687,0.07572090687,797032525,74259696,271255338207,34.7321083628,3.92930721951
35,0.0778918185572,0.017506962234,22.4759962705,0.656940072207,0,0.411764705882,0.774786324786,0.0583828289266,0.0718964506948,0.181786020583,0.213008449781,0.0764174265428,0.0787682371799,0.152633788996,0.169071792841,0.078064651279,0.0824253630561,0.144615077736,0.154626372536,0.080534717647,0.0769423959451,0.0769423959451,0.0769423959451,0.0769423959451,795633795,75658426,266705011707,34.616737338,3.91380902021
36,0.079171827995,0.0175935389874,22.2219688908,0.655919720737,0,0.416666666667,0.758864864865,0.0587360334678,0.0722542785367,0.181567513369,0.20839893617,0.0775509337139,0.0800287036929,0.154532669696,0.170185751491,0.0792065944819,0.0833927380675,0.145577225169,0.155744867753,0.0817353246498,0.0781867165917,0.0781867165917,0.0781867165917,0.0781867165917,794795907,76496314,263958743607,34.537803298,3.90813644828
37,0.0802630802808,0.0175977101065,21.9250370718,0.654940343657,0,0.421850079745,0.779945054945,0.0595293982472,0.073015479933,0.182328285336,0.21153489147,0.0788660627511,0.0817051007554,0.154137521051,0.170270350161,0.0803167378896,0.0839496886398,0.146117082066,0.156497058771,0.0828864477005,0.0793511267381,0.0793511267381,0.0793511267381,0.0793511267381,793685404,77606817,259031228307,34.4588457008,3.89483766017
38,0.0816079749897,0.017679774695,21.6642732493,0.65362009478,0,0.41935483871,0.757289107289,0.0594852793696,0.0744996731903,0.18293871283,0.218066032724,0.0795006615204,0.0819305183435,0.15812096969,0.171206670405,0.0812039447292,0.084800440015,0.14795217728,0.158756473002,0.0839352922972,0.0806468184205,0.0806468184205,0.0806468184205,0.0806468184205,792214101,79078120,254457880107,34.3627679623,3.88364996125
39,0.0832419040878,0.0178384764349,21.4296833192,0.65355282009,0,0.426291793313,0.76038961039,0.0608124985588,0.0781460579515,0.187617273731,0.219677803424,0.0813713882265,0.0835624558817,0.158759510397,0.173175461651,0.0830790221872,0.0858657486275,0.150411115511,0.159852216559,0.0856822090185,0.082302107354,0.082302107354,0.082302107354,0.082302107354,790669518,80622703,250483556907,34.2588044759,3.8757037711
40,0.0846693800507,0.0179751821581,21.2298497371,0.652734025564,0,0.428571428571,0.755555555556,0.0613640313403,0.0783582089552,0.192678571429,0.215081526187,0.0824871306106,0.0830449314192,0.162564866486,0.173763984161,0.0841849899657,0.0870536613755,0.15281099051,0.162144059293,0.0869406709185,0.0837233726797,0.0837233726797,0.0837233726797,0.0837233726797,789326854,81965367,247829091507,34.1573085984,3.86510561656
41,0.0858491122515,0.0178360345177,20.7760267403,0.651312449612,0,0.424242424242,0.752663934426,0.0617588923799,0.0785709360795,0.191029290326,0.218205398715,0.0832382680831,0.0848127876183,0.15917712495,0.176215908782,0.0851070123783,0.0885660259605,0.152814716973,0.162265595768,0.0881137859767,0.0848820749332,0.0848820749332,0.0848820749332,0.0848820749332,788404611,82887610,244004473707,34.0788928151,3.85009785207
42,0.0866749247921,0.0177697206645,20.5015703297,0.650100383567,0,0.426291793313,0.75,0.0616601261656,0.0801886792453,0.191539339656,0.218013748973,0.0837738092479,0.0860262545191,0.159715293366,0.17557855132,0.0857810249152,0.0889239319468,0.15395172947,0.162573525722,0.0889351253425,0.0857667983287,0.0857667983287,0.0857667983287,0.0857667983287,787507300,83784921,238413903507,33.9908775029,3.83702244886
43,0.0889341119566,0.0180998175997,20.3519405564,0.649506952435,0,0.428571428571,0.75,0.0627518060577,0.0816074266542,0.194650434731,0.22275132903,0.085666719845,0.0856866982149,0.167345708016,0.176919223482,0.0879127875852,0.090718136336,0.157212531209,0.165883092079,0.0912615421994,0.0880100002283,0.0880100002283,0.0880100002283,0.0880100002283,785731562,85560659,234558679107,33.887532391,3.82689874529
44,0.0900489588863,0.017921189281,19.9016063068,0.648246752433,0,0.434782608696,0.75,0.0633700985937,0.0822448979592,0.192444480206,0.223196133927,0.0866472239015,0.0881534867577,0.167145986032,0.17487523662,0.0888121645369,0.0920804231355,0.157509257297,0.165499536295,0.0922522836463,0.0891002077673,0.0891002077673,0.0891002077673,0.0891002077673,784592112,86700109,232486454607,33.8083627797,3.81573680619
45,0.0916121040524,0.0181857545476,19.8508207357,0.647603425615,0,0.4375,0.75,0.0641193337196,0.0858098560452,0.193991705691,0.221375783178,0.0882183348412,0.0875299905946,0.167158608328,0.179331716206,0.0905634316782,0.0945538079641,0.160332287523,0.167714955164,0.0939186264656,0.0906927098792,0.0906927098792,0.0906927098792,0.0906927098792,782779511,88512710,229763988207,33.700565371,3.80410058755
46,0.0926620657111,0.01799057389,19.4152523494,0.646334739784,0,0.444444444444,0.75,0.0640234506579,0.0854347770991,0.196597782538,0.236309563212,0.0885893564699,0.0879852035583,0.169586009564,0.177024612618,0.0911589306957,0.0951171133042,0.160987950262,0.167242131801,0.0946128343537,0.0916744674536,0.0916744674536,0.0916744674536,0.0916744674536,782162770,89129451,226489506207,33.6155241461,3.78971924376
47,0.0938182032679,0.0179444622544,19.1268449292,0.645165202314,0,0.444444444444,0.747756410256,0.0642620369927,0.0833333333333,0.19406182547,0.232778601267,0.0893572175635,0.0876678770163,0.170014400607,0.179911000338,0.0919590010116,0.0962313887172,0.161395620502,0.168048412942,0.0956040298013,0.0927817986712,0.0927817986712,0.0927817986712,0.0927817986712,781369134,89923087,222385234707,33.5318904594,3.77786619401
48,0.0956585855011,0.0179072808446,18.7199933501,0.644621226661,0,0.444444444444,0.75,0.0654323958035,0.0877475929588,0.198228438228,0.230442460556,0.0910931647617,0.0906931551607,0.170884313116,0.183205325817,0.0936407909905,0.0985053546912,0.163513964832,0.170525531906,0.0970833846933,0.0945683691408,0.0945683691408,0.0945683691408,0.0945683691408,779476512,91815709,219686704707,33.4143227326,3.76657335221
49,0.0968206217189,0.0177532722745,18.3362510582,0.643496941041,0,0.445402298851,0.75,0.0658702552147,0.0903981296781,0.198228578019,0.231899653871,0.0922332124249,0.0931159886589,0.169609542307,0.181544900407,0.0950254910873,0.0997327020879,0.163283754902,0.169956061464,0.0985402593412,0.0958126897874,0.0958126897874,0.0958126897874,0.0958126897874,778624744,92667477,217099082907,33.3370965842,3.75485961017
50,0.0977880021235,0.0177987337439,18.2013471565,0.642247871611,0,0.45,0.75,0.0659675237487,0.0914914440659,0.197441541095,0.229608257025,0.0927184087129,0.0935096894463,0.172442602141,0.18107100541,0.0955075331038,0.100182935444,0.165189092737,0.171383985944,0.0991842102208,0.0967544921117,0.0967544921117,0.0967544921117,0.0967544921117,777554607,93737614,214927922607,33.2531743227,3.74117387483
