alpha,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.34,0.0471244027606,0.0126756461587,26.8982637787,0.603202889233,0,0.333333333333,0.625,0.0449797481953,0.0495100598986,0.140573655713,0.202582218506,0.0557706435759,0.0521714434112,0.112643770443,0.131847199873,0.0550525175461,0.0521864856809,0.103333622229,0.107523256068,0.0523139539075,0.0465250348181,0.0465250348181,0.0465250348181,0.0465250348181,826389079,44903142,1373973199930,40.9171436985,4.44599885776
0.35,0.0467940777444,0.0125425173101,26.8036425007,0.600710751697,0,0.333333333333,0.625,0.0450501862421,0.0488438133874,0.143671393643,0.190442890443,0.0557702451682,0.0524097443277,0.11630039568,0.131512753644,0.0552501260608,0.0529325401981,0.102179465027,0.106864559939,0.0519078406304,0.0461483138884,0.0461483138884,0.0461483138884,0.0461483138884,826850872,44441349,1406792253430,41.0861130742,4.46092577658
0.36,0.0465404353212,0.0125560264652,26.9787473593,0.597733401145,0,0.3125,0.615384615385,0.0442231620593,0.0472384369589,0.136858974359,0.180261857708,0.0549418134331,0.0510590668889,0.115015563348,0.13043568052,0.0547685964932,0.0521144722458,0.101592197849,0.1059983433,0.0516533080836,0.0459314139592,0.0459314139592,0.0459314139592,0.0459314139592,827029109,44263112,1443961708630,41.2542991755,4.47200449963
0.37,0.0461157317289,0.0123868644736,26.8603880048,0.595555339381,0,0.333333333333,0.625,0.0444423947064,0.0475172276763,0.138792882744,0.180261857708,0.0546752790033,0.0504196482717,0.115647910503,0.130644094772,0.0544660427078,0.0517803836205,0.100627003988,0.105270473668,0.0512122160297,0.045486198315,0.045486198315,0.045486198315,0.045486198315,827375528,43916693,1475211371830,41.4202473498,4.48570435289
0.38,0.0458620893057,0.0121860198294,26.5710088963,0.593281486771,0,0.333333333333,0.625,0.0448468824885,0.0468880756847,0.136627665754,0.180261857708,0.0545380272345,0.0501888529557,0.114781692986,0.128248467682,0.0542282627775,0.051031455572,0.0998491686266,0.103831312533,0.051002932727,0.0452864220644,0.0452864220644,0.0452864220644,0.0452864220644,827583331,43708890,1504807943530,41.5853886926,4.49609159211
0.39,0.0456379401876,0.0121310991194,26.5811714322,0.590945959744,0,0.333333333333,0.625,0.0446352391215,0.0464606919903,0.135533980583,0.196767676768,0.0545045818952,0.0499270726797,0.11663057427,0.131151863165,0.054106117473,0.0502307455763,0.0997216282745,0.104554567666,0.0507126881755,0.0450466905637,0.0450466905637,0.0450466905637,0.0450466905637,828035332,43256889,1536721135070,41.7497938751,4.50977572948
0.4,0.0454314870524,0.0120668412795,26.5605245666,0.588395757073,0,0.333333333333,0.632386363636,0.0451809841452,0.0476437541041,0.137779276621,0.18034965035,0.0546123729478,0.0498479742768,0.118194697557,0.129604309403,0.0540214477792,0.0510833542883,0.0990597750856,0.103245569137,0.0504136210595,0.0447955432772,0.0447955432772,0.0447955432772,0.0447955432772,828081320,43210901,1572426265370,41.9172438163,4.52317394818
0.41,0.044759039698,0.0118914346541,26.5676715459,0.58632668857,0,0.333333333333,0.634006734007,0.0451762683966,0.0458931139932,0.137695924765,0.179399386845,0.0543965414937,0.0493467936952,0.115241685381,0.127521178632,0.0535876265511,0.0496979162177,0.0983931196242,0.102577407185,0.0498849788613,0.0441905066326,0.0441905066326,0.0441905066326,0.0441905066326,828722899,42569322,1600482706970,42.085795053,4.53393874265
0.42,0.044759039698,0.0118531215882,26.4820730476,0.583763987362,0,0.333333333333,0.634006734007,0.045166206753,0.0471148403423,0.135837847986,0.185468227425,0.0542651343173,0.0500063076408,0.11577104053,0.127778624367,0.0534528118947,0.0496345233764,0.0992186002416,0.102421604792,0.0498254153683,0.0441562592753,0.0441562592753,0.0441562592753,0.0441562592753,828790711,42501510,1629849901370,42.2577031802,4.54668235975
0.43,0.0446469651389,0.0118116543254,26.4556712616,0.581359481975,0,0.333333333333,0.648255813953,0.0460475510242,0.0457681940701,0.138229752782,0.184867967853,0.0544128535964,0.0493183064459,0.119806705165,0.124816832293,0.053495051922,0.0496028561479,0.0979743414584,0.101423989832,0.0496445818448,0.0440192698463,0.0440192698463,0.0440192698463,0.0440192698463,829056605,42235616,1662442960670,42.4279387515,4.55974150167
